No,英語,日本語,単元
1,gain,を獲得する,p10-11
2,understanding,理解・知識,p10-11
3,Nordic,北欧の,p10-11
4,author,作者・作家,p10-11
5,Asa Ekstrom,オーサ・イェークストロム,p10-11
6,Swedish,スウェーデンの,p10-11
7,guardian,守護者,p10-11
8,illustration,イラスト,p10-11
9,surround,を囲む,p10-11
10,fascinating,魅了する,p10-11
11,motivate,を動機づける,p10-11
12,discovery,発見,p10-11
13,unwrap,をあける / 解く,p12-13
14,overjoy,大いに喜んで,p12-13
15,sticker,ステッカー,p12-13
16,container,容器,p12-13
17,lid,ふた,p12-13
18,thoughtful,考え込んだ,p12-13
19,notice,に注目する,p12-13
20,wrap,包む,p12-13
21,amaze,びっくりさせる,p12-13
22,ATM,現金自動預入払出機,p12-13
23,politely,ていねいに,p12-13
24,appreciate,を認める,p12-13
25,generous,気前のよい,p12-13
26,Swede,スウェーデン人,p14-15
27,leisure,余暇,p14-15
28,reservation,予約,p14-15
29,remark,発言/言う,p14-15
30,Sweden,スウェーデン,p14-15
31,considerate,思いやりがある,p16-17
32,hardworking,勤勉な / よく働く,p16-17
33,describe,説明する,p16-17
34,frame,枠組み / まんがのコマ,p16-17
35,widen,広げる,p16-17
36,perspective,考え方 / 見方,p16-17
37,expose,さらす,p16-17
38,value,価値観,p16-17
39,previously,以前に,p16-17
40,unaware,気がつかない,p16-17
41,penguin,ペンギン,p.26-27
42,praise,賞賛する,p.26-27
43,supportive,友好的な、協力的な,p.26-27
44,emperor,皇帝,p.26-27
45,dive,飛びこむ、潜る,p.26-27
46,Antarctica,南極大陸,p.26-27
47,life-threatening,命にかかわる,p.26-27
48,blizzard,暴風雪,p.26-27
49,wisdom,知恵,p.26-27
50,interestingly,興味深いことに,p.26-27
51,behavior,習性、生態,p.26-27
52,never fail to do,必ず～する,p.26-27
53,enough to do,～するには十分,p.26-27
54,collective,集団の,p.28-29
55,cooperation,協力,p.28-29
56,chick,ひな,p.28-29
57,breeding,繁殖,p.28-29
58,flat,平らな,p.28-29
59,killer whale,シャチ,p.28-29
60,seal,アザラシ,p.28-29
61,feed,えさを与える,p.28-29
62,huddle,身を寄せ合う,p.28-29
63,freezing,氷点下の,p.28-29
64,rotate,交代する,p.28-29
65,protect A from B,BからAを守る,p.28-29
66,lay an egg,たまごを産む,p.28-29
67,take turns doing,交代でする,p.28-29
68,recover,回復する,p.30-31
69,exhaustion,極度の疲労,p.30-31
70,hatch,かえる,p.30-31
71,nutritious,栄養のある,p.30-31
72,squeeze,絞る,p.30-31
73,strength,力,p.30-31
74,weight,体重,p.30-31
75,literally,文字通り,p.30-31
76,nutrition （手書き）,栄養,p.30-31
77,stay behind,残りにとどまる,p.30-31
78,squeeze A out of B,BからAを絞り出す,p.30-31
79,extinction,絶滅,p.32-33
80,according to,～によれば,p.32-33
81,expert,専門家,p.32-33
82,current,今の,p.32-33
83,rate,速度,p.32-33
84,entire,全体の,p.32-33
85,decline,減少,p.32-33
86,least,最も少なく,p.32-33
87,halve,半分に減らす,p.32-33
88,decrease,減少,p.32-33
89,threaten,脅かす,p.32-33
90,plumage,羽毛,p.32-33
91,waterproof,水を通さない,p.32-33
92,thus,したがって,p.32-33
93,charming,魅力的な,p.32-33
94,at least,少なくとも,p.32-33
